Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-25 13:18:42,1,29 Jade Hostein,0,0,0,0,0.28395063,0.7186389
2025-08-25 13:21:40,2,27 Connie Chan,0,0,0,0,0.6899862,0.44591162
2025-08-25 13:36:06,6,27 Connie Chan,1,0,0,0,0.2674897,0.85982734
2025-08-25 13:43:46,10,31 Abby Shure,0,0,0,0,0.40603563,0.76282376
2025-08-25 13:45:54,10,88 Catherine Chen,0,0,0,0,0.3525377,0.26612493
2025-08-25 13:48:35,10,13 Grace Feehan,0,0,0,0,0.7078189,0.39360082
2025-08-25 14:00:17,16,17 Rufus Caitlin Duffner,0,0,0,0,0.33196154,0.698324
2025-08-25 14:01:54,17,18 Kendra Griesman,0,0,0,0,0.5816187,0.32046726
