Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-22 15:08:41,1,29 Jade Hostein,0,0,0,0,0.30811554,0.34691796
2025-07-22 15:16:47,3,72 JJ Jarik,0,0,0,0,0.32737273,0.5944982
2025-07-22 15:23:42,6,09 Moose Lucy Petersen,0,0,0,0,0.70701516,0.71828836
2025-07-22 15:50:58,20,29 Jade Hostein,0,0,0,0,0.60247594,0.6943454
2025-07-22 16:00:44,21,18 Kendra Griesman,0,0,0,0,0.9105915,0.62710136
2025-07-22 16:01:30,21,18 Kendra Griesman,0,0,0,0,0.45667124,0.7987774
