Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-22 16:08:55,1,07 Annie Phan,0,1,0,0,0.71664375,0.11512992
2025-07-22 16:20:02,4,88 Catherine Chen,0,0,0,0,0.33975244,0.28425878
2025-07-22 16:29:35,9,29 Jade Hostein,0,0,0,0,0.1320495,0.37850228
2025-07-22 16:33:23,10,07 Annie Phan,1,0,0,0,0.9312242,0.861946
2025-07-22 16:42:26,11,18 Kendra Griesman,0,0,0,0,0.17881702,0.42384106
2025-07-22 16:44:19,11,24 Anna Stubbs,0,0,0,0,0.11279225,0.37391746
2025-07-22 16:49:10,14,18 Kendra Griesman,0,0,0,0,0.7524072,0.5629139
