Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-09-15 16:48:31,5,Mox,1,0,0,0,0.6666667,0.9125249
2025-09-15 16:58:11,7,71 Guber,1,0,0,0,0.34139785,0.87972164
2025-09-15 17:00:47,8,17 Anna Martinello,0,0,0,0,0.25268817,0.59940356
2025-09-15 17:05:48,11,30 Caleb Moran,0,0,0,0,0.5913978,0.49105367
2025-09-15 17:18:32,17,,0,0,1,0,0.74462366,0.6451292
2025-09-15 17:20:39,18,71 Guber,1,0,0,0,0.005376344,0.93439364
2025-09-15 17:35:08,24,17 Anna Martinello,0,0,0,0,0.059139784,0.35188866
