Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-24 09:48:37,5,03 Ethan Jones,0,0,0,0,0.78494626,0.34890655
2025-07-24 09:50:49,6,47 Penny Wu,0,0,0,0,0.27688172,0.8101392
2025-07-24 10:10:41,8,05 Seokhee Burningham,0,0,0,0,0.19892474,0.7087475
2025-07-24 10:25:28,14,,0,0,0,0,0.71236557,0.2166998
